region,median,lower_90,upper_90,lower_50,upper_50,confidence
North Rhine-Westphalia,745,677,812,705,762,1
North Rhine-Westphalia,776,710,836,759,808,1
North Rhine-Westphalia,798,740,854,776,821,1
North Rhine-Westphalia,808,753,872,780,827,1
North Rhine-Westphalia,812,755,870,782,827,1
North Rhine-Westphalia,816,757,870,783,832,1
North Rhine-Westphalia,824,769,889,802,850,1
North Rhine-Westphalia,835,775,889,815,858,1
North Rhine-Westphalia,847,789,903,820,867,1
North Rhine-Westphalia,853,791,905,826,874,1
North Rhine-Westphalia,853,797,905,828,873,1
North Rhine-Westphalia,843,784,895,818,862,1
North Rhine-Westphalia,831,773,881,797,842,1
North Rhine-Westphalia,820,765,874,804,848,1
North Rhine-Westphalia,816,754,867,787,832,1
North Rhine-Westphalia,806,743,858,779,827,1
North Rhine-Westphalia,789,724,840,768,812,1
North Rhine-Westphalia,760,699,813,731,780,1
North Rhine-Westphalia,726,670,782,703,749,1
North Rhine-Westphalia,693,640,745,674,721,1
North Rhine-Westphalia,664,607,717,646,689,1
North Rhine-Westphalia,637,590,697,618,660,1
North Rhine-Westphalia,611,561,663,588,630,1
North Rhine-Westphalia,585.5,526,628,561,602,1
North Rhine-Westphalia,548,504,597,530,569,1
North Rhine-Westphalia,516,469,555,497,530,1
North Rhine-Westphalia,485,446,526,465,497,1
North Rhine-Westphalia,463,419,501,444,475,1
North Rhine-Westphalia,451,409,485,433,465,1
North Rhine-Westphalia,440.5,400,482,423,455,1
North Rhine-Westphalia,430,386,474,408,446,1
North Rhine-Westphalia,414,371,453,396,433,1
North Rhine-Westphalia,391,350,429,375,408,1
North Rhine-Westphalia,364,321,400,351,383,1
North Rhine-Westphalia,338,299,367,318,346,1
North Rhine-Westphalia,316,287,352,297,323,1
North Rhine-Westphalia,295,259,324,275,302,1
North Rhine-Westphalia,276,245,304,261,284,0.99
North Rhine-Westphalia,258,230,285,242,264,0.99
North Rhine-Westphalia,241,213,267,228,249,0.99
North Rhine-Westphalia,231,203,252,217,238,0.99
North Rhine-Westphalia,223,198,249,210,231,0.99
North Rhine-Westphalia,221,196,244,213,232,0.98
North Rhine-Westphalia,220,196,247,209,229,0.98
North Rhine-Westphalia,219,193,245,206,227,0.97
North Rhine-Westphalia,216,189,243,205,227,0.96
North Rhine-Westphalia,214,186,238,202,223,0.95
North Rhine-Westphalia,211,183,235,200,220,0.94
North Rhine-Westphalia,212,182,239,196,219,0.93
North Rhine-Westphalia,217.5,191,249,201,223,0.91
North Rhine-Westphalia,222,193,254,212,236,0.88
North Rhine-Westphalia,227,193,254,217,242,0.85
North Rhine-Westphalia,232,196,262,216,243,0.81
North Rhine-Westphalia,233,197,272,214,244,0.75
North Rhine-Westphalia,241,191,281,222,259,0.69
Rhineland-Palatinate,1,1,1,1,1,1
Rhineland-Palatinate,0,0,0,0,0,1
Rhineland-Palatinate,0.5,0,1,0,1,1
Rhineland-Palatinate,0,0,0,0,0,1
Rhineland-Palatinate,0,0,0,0,0,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,0,0,0,0,0,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,0,0,0,0,0,1
Rhineland-Palatinate,0,0,0,0,0,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,1,0,1,1,1,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,0,0,1,0,0,1
Rhineland-Palatinate,0,0,2,0,0,1
Rhineland-Palatinate,1,0,2,0,1,1
Rhineland-Palatinate,1,0,2,0,1,1
Rhineland-Palatinate,1,0,2,0,1,1
Rhineland-Palatinate,1,0,3,0,1,1
Rhineland-Palatinate,1,0,3,0,1,1
Rhineland-Palatinate,1,0,4,0,1,1
Rhineland-Palatinate,1,0,4,0,1,1
Rhineland-Palatinate,2,0,5,0,2,1
Rhineland-Palatinate,2,0,6,0,2,1
Rhineland-Palatinate,3,0,7,1,3,1
Rhineland-Palatinate,4,0,8,1,4,1
Rhineland-Palatinate,5,0,10,2,5,1
Rhineland-Palatinate,6,1,13,3,7,1
Rhineland-Palatinate,8,0,14,3,8,1
Rhineland-Palatinate,10,1,18,5,11,1
Rhineland-Palatinate,12,3,21,6,13,1
Rhineland-Palatinate,15,5,25,8,16,1
Rhineland-Palatinate,18,7,30,11,20,1
Rhineland-Palatinate,22,8,35,13,24,1
Rhineland-Palatinate,27,12,41,16,28,1
Rhineland-Palatinate,33.5,17,50,22,36,1
Rhineland-Palatinate,40,22,58,30,44,1
Rhineland-Palatinate,47,29,68,34,50,1
Rhineland-Palatinate,56,34,75,46,62,1
Rhineland-Palatinate,65,44,87,54,72,1
Rhineland-Palatinate,76,53,97,62,80,1
Rhineland-Palatinate,89,64,110,78,97,1
Rhineland-Palatinate,100,76,121,91,109,1
Rhineland-Palatinate,112,86,133,99,118,1
Rhineland-Palatinate,123,98,143,112,131,1
Rhineland-Palatinate,134,113,156,121,138,1
Rhineland-Palatinate,144,122,165,132,150,1
Rhineland-Palatinate,153,131,173,141,158,1
Rhineland-Palatinate,160,141,181,147,164,1
Rhineland-Palatinate,166,144,185,159,175,1
Rhineland-Palatinate,171,148,191,160,177,1
Rhineland-Palatinate,173,154,193,164,180,1
Rhineland-Palatinate,177,157,197,168,184,1
Rhineland-Palatinate,178,156,199,170,186,1
Rhineland-Palatinate,182,159,202,175,192,1
Rhineland-Palatinate,181,157,200,169,187,1
Rhineland-Palatinate,182,159,205,169,188,1
Rhineland-Palatinate,179,153,198,171,187,1
Rhineland-Palatinate,175,153,198,165,182,1
Rhineland-Palatinate,171,150,194,160,177,1
Rhineland-Palatinate,167.5,147,190,157,175,1
Rhineland-Palatinate,163.5,139,182,154,171,1
Rhineland-Palatinate,159,133,177,151,167,1
Rhineland-Palatinate,153,131,175,144,162,1
Rhineland-Palatinate,147,125,169,135,153,1
Rhineland-Palatinate,140,115,160,129,146,1
Rhineland-Palatinate,133,110,153,121,138,1
Rhineland-Palatinate,125,107,147,113,129,1
Rhineland-Palatinate,119,99,138,110,126,1
Rhineland-Palatinate,112,95,131,102,117,1
Rhineland-Palatinate,107,87,126,97,112,1
Rhineland-Palatinate,100,82,117,93,107,1
Rhineland-Palatinate,94,75,109,87,101,1
Rhineland-Palatinate,88,72,104,79,92,1
Rhineland-Palatinate,82,65,96,74,86,1
Rhineland-Palatinate,78,63,93,71,83,1
Rhineland-Palatinate,76,60,91,67,79,1
Rhineland-Palatinate,73,57,86,64,76,1
Rhineland-Palatinate,68,53,81,61,72,1
Rhineland-Palatinate,63,49,78,55,66,1
Rhineland-Palatinate,58,44,70,51,61,1
Rhineland-Palatinate,53,41,66,46,56,1
Rhineland-Palatinate,49,37,60,42,51,1
Rhineland-Palatinate,46,35,57,41,49,1
Rhineland-Palatinate,44,33,54,38,47,1
Rhineland-Palatinate,42,30,52,37,45,0.99
Rhineland-Palatinate,40,29,50,34,42,0.99
Rhineland-Palatinate,37,28,46,32,40,0.99
Rhineland-Palatinate,35,24,43,30,37,0.99
Rhineland-Palatinate,34,26,44,27,35,0.98
Rhineland-Palatinate,32,23,41,27,34,0.98
Rhineland-Palatinate,31,21,39,26,33,0.97
Rhineland-Palatinate,30,21,38,26,32,0.97
Rhineland-Palatinate,29,18,35,23,30,0.96
Rhineland-Palatinate,27,18,34,24,30,0.95
Rhineland-Palatinate,26,17,33,23,29,0.94
Rhineland-Palatinate,27,17,34,22,28,0.92
Rhineland-Palatinate,27,18,35,21,28,0.9
Rhineland-Palatinate,27,16,35,22,29,0.87
Rhineland-Palatinate,28,17,37,21,29,0.84
Rhineland-Palatinate,28,19,40,22,30,0.79
Rhineland-Palatinate,29,17,42,22,31,0.74
Rhineland-Palatinate,30,16,46,23,33,0.67
Saarland,1,1,1,1,1,1
Saarland,0,0,0,0,0,1
Saarland,0.5,0,1,0,1,1
Saarland,0.5,0,1,0,1,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,1,0,0,1
Saarland,0,0,2,0,0,1
Saarland,1,0,2,0,1,1
Saarland,1,0,2,0,1,1
Saarland,1,0,2,0,1,1
Saarland,1,0,3,0,1,1
Saarland,1,0,3,0,1,1
Saarland,1,0,3,0,1,1
Saarland,2,0,4,0,2,1
Saarland,2,0,5,0,2,1
Saarland,3,0,6,1,3,1
Saarland,3,0,7,0,3,1
Saarland,4,0,8,1,4,1
Saarland,5,1,10,2,5,1
Saarland,7,1,11,3,7,1
Saarland,8,2,13,3,8,1
Saarland,10,3,16,5,10,1
Saarland,11.5,4,18,6,12,1
Saarland,14,7,21,8,14,1
Saarland,17,8,24,12,18,1
Saarland,19,9,27,16,22,1
Saarland,23,13,31,16,24,1
Saarland,26,15,35,22,29,1
Saarland,29,18,39,22,31,1
Saarland,32,22,43,26,35,1
Saarland,36,26,48,30,39,1
Saarland,40,28,52,33,43,1
Saarland,44,31,56,37,47,1
Saarland,47,35,60,39,49,1
Saarland,52,38,64,46,56,1
Saarland,56,42,69,48,59,1
Saarland,60,48,74,51,62,1
Saarland,64,51,79,58,69,1
Saarland,68,53,81,60,72,1
Saarland,72,55,84,65,76,1
Saarland,77,63,92,68,80,1
Saarland,81,63,94,72,84,1
Saarland,86,70,99,78,90,1
Saarland,89,73,105,83,94,1
Saarland,93,78,109,82,96,1
Saarland,95,80,111,88,100,1
Saarland,97,81,113,87,100,1
Saarland,97,79,114,89,103,1
Saarland,96,77,112,90,104,1
Saarland,92,71,108,81,96,1
Saarland,88,70,105,80,93,1
Saarland,82,64,99,72,86,1
Saarland,75,57,91,64,78,1
Saarland,69,55,86,62,74,1
Saarland,63,46,77,56,68,1
Saarland,57,43,71,51,62,1
Saarland,52,36,63,44,55,1
Saarland,44,31,58,36,46,1
Saarland,38,27,50,33,41,1
Saarland,33,23,42,27,35,1
Saarland,30,20,37,24,31,1
Saarland,28,20,37,22,29,1
Saarland,27,18,35,21,28,1
Saarland,26,17,32,22,28,1
Saarland,24,15,31,20,26,1
Saarland,23,14,29,19,25,1
Saarland,21,14,28,16,22,1
Saarland,21,12,27,16,22,1
Saarland,20,12,26,16,21,1
Saarland,19,11,25,15,20,0.99
Saarland,18,11,24,14,19,0.99
Saarland,16,10,22,12,17,0.99
Saarland,15,9,21,11,16,0.99
Saarland,14,8,20,10,15,0.98
Saarland,13,7,19,9,14,0.98
Saarland,13,7,18,10,14,0.98
Saarland,12,6,17,9,13,0.97
Saarland,11,6,17,9,13,0.96
Saarland,10,5,15,7,11,0.95
Saarland,9,3,13,5,9,0.94
Saarland,8,4,13,6,9,0.92
Saarland,8,3,12,4,8,0.9
Saarland,7,3,12,4,8,0.87
Saarland,8,2,12,4,8,0.84
Saarland,8,3,14,4,8,0.8
Saarland,8,3,16,3,8,0.74
Saarland,9,1,19,3,9,0.67
Saarland,11,2,27,5,12,0.58
Saxony,1,1,1,1,1,1
Saxony,0,0,0,0,0,1
Saxony,0,0,0,0,0,1
Saxony,0.5,0,1,0,1,1
Saxony,0,0,1,0,0,1
Saxony,1,0,1,1,1,1
Saxony,0,0,1,0,0,1
Saxony,0,0,1,0,0,1
Saxony,0,0,1,0,0,1
Saxony,0,0,1,0,0,1
Saxony,0,0,1,0,0,1
Saxony,0,0,1,0,0,1
Saxony,0,0,1,0,0,1
Saxony,0,0,1,0,0,1
Saxony,0,0,1,0,0,1
Saxony,0,0,1,0,0,1
Saxony,0,0,1,0,0,1
Saxony,0,0,1,0,0,1
Saxony,0,0,1,0,0,1
Saxony,0,0,1,0,0,1
Saxony,0,0,2,0,0,1
Saxony,0,0,2,0,0,1
Saxony,1,0,2,0,1,1
Saxony,1,0,2,0,1,1
Saxony,1,0,2,0,1,1
Saxony,1,0,3,0,1,1
Saxony,1,0,4,0,1,1
Saxony,1,0,4,0,1,1
Saxony,2,0,5,0,2,1
Saxony,2,0,6,0,2,1
Saxony,3,0,7,1,3,1
Saxony,4,0,8,1,4,1
Saxony,5,1,10,1,5,1
Saxony,6,1,12,2,6,1
Saxony,7,1,14,3,8,1
Saxony,9,2,17,4,10,1
Saxony,11,4,21,5,12,1
Saxony,14,5,24,8,16,1
Saxony,17,6,28,10,19,1
Saxony,22,10,34,13,23,1
Saxony,26,13,39,20,30,1
Saxony,31.5,17,46,23,35,1
Saxony,37,20,51,30,42,1
Saxony,44,26,60,32,46,1
Saxony,52,32,68,41,56,1
Saxony,59,38,77,49,64,1
Saxony,68,51,88,57,73,1
Saxony,76,55,95,64,80,1
Saxony,86,63,104,74,90,1
Saxony,95,75,115,85,100,1
Saxony,105,84,124,96,111,1
Saxony,114,92,131,105,120,1
Saxony,122,103,142,114,129,1
Saxony,129,107,146,120,135,1
Saxony,136,117,155,126,141,1
Saxony,140,121,159,130,145,1
Saxony,142,123,161,131,146,1
Saxony,144,126,163,135,150,1
Saxony,147,125,163,136,151,1
Saxony,150,130,168,140,156,1
Saxony,151,130,169,142,157,1
Saxony,152,130,171,142,159,1
Saxony,150,129,170,140,156,1
Saxony,148,124,165,138,154,1
Saxony,144,123,164,136,152,1
Saxony,142,121,161,130,147,1
Saxony,139,115,159,129,146,1
Saxony,134,113,157,123,141,1
Saxony,129,108,151,116,134,1
Saxony,120,100,142,106,125,1
Saxony,111,89,131,100,117,1
Saxony,102,82,121,92,107,1
Saxony,95,79,114,85,100,1
Saxony,89,70,105,79,93,1
Saxony,82,67,98,72,85,1
Saxony,78,61,93,67,81,1
Saxony,71,55,86,63,76,1
Saxony,65,51,80,58,69,1
Saxony,59,44,71,52,63,1
Saxony,55,41,66,47,57,1
Saxony,50,38,62,45,54,1
Saxony,47,35,58,38,48,1
Saxony,44,32,54,38,47,1
Saxony,41,30,51,35,43,1
Saxony,38,26,47,32,40,1
Saxony,36,25,44,29,37,1
Saxony,34,26,45,29,36,1
Saxony,33,23,42,27,34,1
Saxony,32,22,40,26,33,1
Saxony,31,22,39,25,32,0.99
Saxony,30,19,37,24,31,0.99
Saxony,28,19,36,24,30,0.99
Saxony,28,19,36,24,30,0.99
Saxony,28,20,36,24,30,0.98
Saxony,28,19,36,22,29,0.98
Saxony,28,19,35,24,30,0.97
Saxony,28,20,36,22,29,0.97
Saxony,28,19,36,23,30,0.96
Saxony,28,20,37,22,29,0.95
Saxony,29,20,37,23,30,0.94
Saxony,30,20,38,25,32,0.92
Saxony,30.5,20,39,24,32,0.9
Saxony,31,20,40,24,32,0.87
Saxony,31,20,40,24,32,0.84
Saxony,31,19,41,25,33,0.79
Saxony,30,19,44,23,32,0.73
Saxony,31,14,47,21,32,0.66
Saxony-Anhalt,1,1,1,1,1,1
Saxony-Anhalt,0,0,0,0,0,1
Saxony-Anhalt,1,0,1,1,1,1
Saxony-Anhalt,0,0,0,0,0,1
Saxony-Anhalt,0.5,0,1,0,1,1
Saxony-Anhalt,1,0,1,1,1,1
Saxony-Anhalt,0,0,1,0,0,1
Saxony-Anhalt,0,0,1,0,0,1
Saxony-Anhalt,0,0,1,0,0,1
Saxony-Anhalt,0,0,1,0,0,1
Saxony-Anhalt,0,0,1,0,0,1
Saxony-Anhalt,0,0,1,0,0,1
Saxony-Anhalt,0,0,1,0,0,1
Saxony-Anhalt,0,0,1,0,0,1
Saxony-Anhalt,0,0,1,0,0,1
Saxony-Anhalt,0,0,1,0,0,1
Saxony-Anhalt,0,0,1,0,0,1
Saxony-Anhalt,0,0,1,0,0,1
Saxony-Anhalt,0,0,1,0,0,1
Saxony-Anhalt,0,0,1,0,0,1
Saxony-Anhalt,0,0,2,0,0,1
Saxony-Anhalt,1,0,2,0,1,1
Saxony-Anhalt,1,0,2,0,1,1
Saxony-Anhalt,1,0,2,0,1,1
Saxony-Anhalt,1,0,3,0,1,1
Saxony-Anhalt,1,0,3,0,1,1
Saxony-Anhalt,1,0,4,0,1,1
Saxony-Anhalt,2,0,4,0,2,1
Saxony-Anhalt,2,0,5,0,2,1
Saxony-Anhalt,3,0,6,1,3,1
Saxony-Anhalt,4,0,7,2,4,1
Saxony-Anhalt,5,1,9,2,5,1
Saxony-Anhalt,5,1,10,3,6,1
Saxony-Anhalt,7,2,12,3,7,1
Saxony-Anhalt,8,3,14,5,9,1
Saxony-Anhalt,10,5,17,5,10,1
Saxony-Anhalt,12,7,19,7,12,1
Saxony-Anhalt,14,8,22,9,15,1
Saxony-Anhalt,17,8,24,12,18,1
Saxony-Anhalt,19,10,27,15,21,1
Saxony-Anhalt,22,14,30,18,24,1
Saxony-Anhalt,25,15,33,19,26,1
Saxony-Anhalt,28,19,37,23,30,1
Saxony-Anhalt,31,20,39,25,33,1
Saxony-Anhalt,33,25,44,27,35,1
Saxony-Anhalt,37,26,46,31,39,1
Saxony-Anhalt,39,30,50,34,42,1
Saxony-Anhalt,42,30,51,37,45,1
Saxony-Anhalt,43,33,54,37,45,1
Saxony-Anhalt,44,33,54,38,46,1
Saxony-Anhalt,46,34,55,38,47,1
Saxony-Anhalt,47,35,56,43,51,1
Saxony-Anhalt,48,37,59,41,50,1
Saxony-Anhalt,48,38,59,42,51,1
Saxony-Anhalt,48,36,58,41,50,1
Saxony-Anhalt,46,36,57,39,48,1
Saxony-Anhalt,45,34,55,38,47,1
Saxony-Anhalt,43.5,32,53,37,45,1
Saxony-Anhalt,42,30,51,38,46,1
Saxony-Anhalt,40,29,49,34,42,1
Saxony-Anhalt,39,29,48,32,40,1
Saxony-Anhalt,38,26,46,32,40,1
Saxony-Anhalt,36,25,44,30,38,1
Saxony-Anhalt,34,25,43,30,37,1
Saxony-Anhalt,33,24,42,29,36,1
Saxony-Anhalt,32,22,40,27,34,1
Saxony-Anhalt,31,22,39,25,32,1
Saxony-Anhalt,29,20,37,26,32,1
Saxony-Anhalt,28,19,35,22,29,1
Saxony-Anhalt,26,18,34,24,30,1
Saxony-Anhalt,25,18,33,21,27,1
Saxony-Anhalt,24,15,30,19,25,1
Saxony-Anhalt,23,15,30,18,24,1
Saxony-Anhalt,22,15,30,18,24,1
Saxony-Anhalt,23,16,30,18,24,1
Saxony-Anhalt,23,14,29,17,23,1
Saxony-Anhalt,22,15,29,17,23,1
Saxony-Anhalt,21,13,28,16,22,1
Saxony-Anhalt,20,13,27,15,21,1
Saxony-Anhalt,19,11,25,16,21,1
Saxony-Anhalt,17,10,23,14,19,1
Saxony-Anhalt,16,10,22,12,17,1
Saxony-Anhalt,15,8,20,11,16,0.99
Saxony-Anhalt,14,9,20,10,15,0.99
Saxony-Anhalt,13,7,18,10,14,0.99
Saxony-Anhalt,12,6,17,9,13,0.99
Saxony-Anhalt,11,5,15,8,12,0.98
Saxony-Anhalt,10,4,14,7,11,0.98
Saxony-Anhalt,10,4,14,6,10,0.98
Saxony-Anhalt,9,4,14,6,10,0.97
Saxony-Anhalt,9,5,14,6,10,0.96
Saxony-Anhalt,9,4,13,7,10,0.95
Saxony-Anhalt,9,4,13,6,9,0.94
Saxony-Anhalt,9,4,13,5,9,0.92
Saxony-Anhalt,9,2,13,5,9,0.9
Saxony-Anhalt,9,4,14,7,10,0.88
Saxony-Anhalt,9,3,15,6,10,0.84
Saxony-Anhalt,9,3,16,6,10,0.8
Saxony-Anhalt,10,3,18,5,10,0.75
Saxony-Anhalt,10,3,22,6,12,0.68
Saxony-Anhalt,12,2,29,4,12,0.6
Schleswig-Holstein,1,1,1,1,1,1
Schleswig-Holstein,0,0,0,0,0,1
Schleswig-Holstein,1,1,1,1,1,1
Schleswig-Holstein,1,1,1,1,1,1
Schleswig-Holstein,1,0,1,1,1,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,0,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,1,0,0,1
Schleswig-Holstein,0,0,2,0,0,1
Schleswig-Holstein,1,0,2,0,1,1
Schleswig-Holstein,1,0,2,0,1,1
Schleswig-Holstein,1,0,3,0,1,1
Schleswig-Holstein,1,0,3,0,1,1
Schleswig-Holstein,1,0,3,0,1,1
Schleswig-Holstein,2,0,4,1,2,1
Schleswig-Holstein,2,0,5,0,2,1
Schleswig-Holstein,2,0,6,0,2,1
Schleswig-Holstein,3,0,6,1,3,1
Schleswig-Holstein,4,0,8,1,4,1
Schleswig-Holstein,5,0,9,2,5,1
Schleswig-Holstein,6,1,10,3,6,1
Schleswig-Holstein,7,2,13,3,7,1
Schleswig-Holstein,9,2,14,4,9,1
Schleswig-Holstein,10,3,17,6,11,1
Schleswig-Holstein,12,5,20,7,13,1
Schleswig-Holstein,15,7,23,10,16,1
Schleswig-Holstein,18,9,27,12,19,1
Schleswig-Holstein,21,12,31,16,23,1
Schleswig-Holstein,24,14,35,18,26,1
Schleswig-Holstein,28,17,38,23,31,1
Schleswig-Holstein,33,22,45,26,35,1
Schleswig-Holstein,37,25,49,32,41,1
Schleswig-Holstein,42,30,54,34,44,1
Schleswig-Holstein,46,34,59,39,49,1
Schleswig-Holstein,51,37,63,46,56,1
Schleswig-Holstein,56,43,69,48,59,1
Schleswig-Holstein,61,46,73,55,66,1
Schleswig-Holstein,65,50,77,59,69,1
Schleswig-Holstein,69,55,82,61,72,1
Schleswig-Holstein,73,58,86,65,76,1
Schleswig-Holstein,75,58,87,68,79,1
Schleswig-Holstein,78,63,91,70,81,1
Schleswig-Holstein,81,65,94,74,85,1
Schleswig-Holstein,83,69,97,76,87,1
Schleswig-Holstein,84,68,97,78,90,1
Schleswig-Holstein,84,67,97,81,92,1
Schleswig-Holstein,84,66,96,74,86,1
Schleswig-Holstein,83,67,96,75,87,1
Schleswig-Holstein,82,66,95,76,87,1
Schleswig-Holstein,81,64,92,73,85,1
Schleswig-Holstein,79,66,92,71,82,1
Schleswig-Holstein,77,64,91,67,79,1
Schleswig-Holstein,76,58,89,68,80,1
Schleswig-Holstein,73,59,88,69,80,1
Schleswig-Holstein,69,55,84,61,73,1
Schleswig-Holstein,65,50,77,61,71,1
Schleswig-Holstein,61,48,74,52,63,1
Schleswig-Holstein,58,43,68,51,61,1
Schleswig-Holstein,55,40,65,48,58,1
Schleswig-Holstein,51,39,63,46,55,1
Schleswig-Holstein,47,35,59,41,50,1
Schleswig-Holstein,43,34,55,38,46,1
Schleswig-Holstein,40,28,49,35,43,1
Schleswig-Holstein,37,27,46,30,38,1
Schleswig-Holstein,35,25,44,28,36,1
Schleswig-Holstein,34,24,42,28,35,1
Schleswig-Holstein,32,23,41,27,34,1
Schleswig-Holstein,30,20,38,25,32,1
Schleswig-Holstein,29,19,36,25,31,1
Schleswig-Holstein,27,19,35,24,30,1
Schleswig-Holstein,26,18,34,22,28,1
Schleswig-Holstein,26,18,33,21,27,1
Schleswig-Holstein,25,16,32,20,26,1
Schleswig-Holstein,24,16,31,19,25,0.99
Schleswig-Holstein,23,16,31,19,25,0.99
Schleswig-Holstein,22,15,29,19,24,0.99
Schleswig-Holstein,21,13,28,19,24,0.99
Schleswig-Holstein,22,14,28,16,22,0.99
Schleswig-Holstein,21,12,27,16,22,0.98
Schleswig-Holstein,21,15,29,17,23,0.98
Schleswig-Holstein,22,15,30,17,23,0.97
Schleswig-Holstein,23,16,31,19,25,0.96
Schleswig-Holstein,24,15,30,19,25,0.95
Schleswig-Holstein,24,17,32,20,26,0.94
Schleswig-Holstein,24,16,32,19,25,0.93
Schleswig-Holstein,25,16,32,21,27,0.91
Schleswig-Holstein,24,17,34,21,27,0.88
Schleswig-Holstein,23,14,31,17,24,0.85
Schleswig-Holstein,22,13,31,17,24,0.81
Schleswig-Holstein,22,12,33,17,24,0.76
Schleswig-Holstein,22,9,34,14,23,0.69
Schleswig-Holstein,22,8,40,14,24,0.61
Thuringia,1,1,1,1,1,1
Thuringia,1,0,1,1,1,1
Thuringia,0,0,0,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0.5,0,1,0,1,1
Thuringia,0.5,0,1,0,1,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,1,0,0,1
Thuringia,0,0,2,0,0,1
Thuringia,1,0,2,0,1,1
Thuringia,1,0,2,0,1,1
Thuringia,1,0,2,0,1,1
Thuringia,1,0,2,0,1,1
Thuringia,1,0,3,0,1,1
Thuringia,1,0,3,0,1,1
Thuringia,2,0,4,0,2,1
Thuringia,2,0,5,0,2,1
Thuringia,2,0,6,0,2,1
Thuringia,3,0,7,1,3,1
Thuringia,4,1,8,1,4,1
Thuringia,5,1,9,2,5,1
Thuringia,6,1,11,2,6,1
Thuringia,7,1,12,4,8,1
Thuringia,9,3,15,6,10,1
Thuringia,11,4,17,7,12,1
Thuringia,13,6,20,9,14,1
Thuringia,15,7,23,10,16,1
Thuringia,18,8,25,12,19,1
Thuringia,22,12,31,18,25,1
Thuringia,25,16,34,20,27,1
Thuringia,28,18,37,22,30,1
Thuringia,32,22,42,27,35,1
Thuringia,36,24,46,33,41,1
Thuringia,40,28,50,36,44,1
Thuringia,44,32,55,39,48,1
Thuringia,48,36,59,40,49,1
Thuringia,51,37,60,46,55,1
Thuringia,53,40,64,47,56,1
Thuringia,55,43,67,48,58,1
Thuringia,57,46,69,52,61,1
Thuringia,58,46,70,52,61,1
Thuringia,59,45,69,52,62,1
Thuringia,59,47,71,55,64,1
Thuringia,59,47,71,51,61,1
Thuringia,59,45,70,52,62,1
Thuringia,57,45,69,50,60,1
Thuringia,56,44,67,50,59,1
Thuringia,55,44,68,51,60,1
Thuringia,55,43,66,49,58,1
Thuringia,54,43,65,48,57,1
Thuringia,53,43,65,48,57,1
Thuringia,53,40,63,47,56,1
Thuringia,51,40,61,47,55,1
Thuringia,49,36,59,44,52,1
Thuringia,47,35,56,42,50,1
Thuringia,46,35,56,39,48,1
Thuringia,46,34,55,39,47,1
